Brand, Product Name, Price, Shipping
GIGABYTE,GIGABYTE Geforce RTX 2060 OC 6G Graphics Card/ 2 x WINDFORCE Fans/ 6GB 192-Bit GDDR6/ GV-N2060OC-6GD Video Card,$595.99 (6 Offers),Free Shipping
ASUS,ASUS Turbo GeForce RTX 2060 SUPER TURBO-RTX2060S-8G-EVO 8GB 256-Bit GDDR6 PCI Express 3.0 HDCP Ready Video Card,$569.99 (1 Offers),$45.00 Shipping
MSI,MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti 4GT OC 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready ATX Video Card,$234.86 (13 Offers),Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2060 SUPER DirectX 12 GV-N206SWF2-8GD 8GB 256-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,$699.99 (4 Offers),Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-O11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$1,479.99 (5 Offers),$75.00 Shipping
EVGA,EVGA GeForce GTX 1060 GAMING/ ACX 2.0 (Single Fan)/ 03G-P4-6160-KR/ 3GB GDDR5/ DX12 OSD Support (PXOC)/ Only 6.8 Inches,$384.20 (3 Offers),$37.00 Shipping
ASUS,ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING 11GB 352-Bit GDDR6 PCI Express 3.0 HDCP Ready SLI Support Video Card,$1,479.99 (3 Offers),$75.00 Shipping
GIGABYTE,GIGABYTE GeForce GT 1030 Low Profile 2GB/ GV-N1030D5-2GL,$84.49 (9 Offers),$4.99 Shipping
GIGABYTE,GIGABYTE GeForce RTX 2070 Super WINDFORCE OC 3X 8G Graphics Card/ 3 x WINDFORCE Fans/ 8GB 256-Bit GDDR6/ GV-N207SWF3OC-8GD Video Card,$889.48 (4 Offers),Free Shipping
GIGABYTE,GIGABYTE GeForce RTX 2080 Super WINDFORCE OC 8G Graphics Card/ 3 x WINDFORCE Fans/ 8GB 256-Bit GDDR6/ GV-N208SWF3OC-8GD Video Card,$1,039.99 (2 Offers),$45.00 Shipping
